id,name,description,language,include_keywords,exclude_keywords,synonyms
steuern,Steuern,"Steueraufkommen, Abgaben und fiskalbezogene Kennzahlen.",de,Steueraufkommen|Steuereinnahmen|Einkommensteuer|Korporationssteuer|Mehrwertsteuer|Körperschaftsteuer|Gewerbesteuer|Steuersatz|Steuerlast|Steuerreform,Steuerung|Teststeuerung,Steuern|Steueraufkommen|Steuerquote|Abgaben|Einnahmen des Staates
steuern,Taxes,"Tax revenue, levies and fiscal indicators.",en,tax revenue|income tax|corporate tax|VAT|fiscal revenue,steuerung|control system,taxes|tax revenue|tax burden|fiscal revenue
klima,Klima,"Klimabezogene Kennzahlen wie Emissionen, Temperatur, Wetterextreme; Klimaschutz, Energiewende, Atomenergie und Kernenergie.",de,CO2|Emissionen|Treibhausgas|Temperatur|Klimaschutz|Energieverwendung|Energieart|Klimabilanz|Klimaziel|Energiewende|erneuerbare Energien|Klimawandel|Atomenergie|Kernenergie|Kernkraft|Atomausstieg|Atomkraftwerk|Klimaschutzgesetz|Emission|Treibhausgase|Klimapolitik|Solarenergie|Windkraft|Photovoltaik,Unternehmensklima|Investitionsklima,Klima|Klimawandel|Emissionen|Treibhausgase|Temperatur|Wetter|Klimagas|Klimabilanz|Energiewende|Klimaschutz|Atomenergie|Kernenergie|Kernkraft|Klimagesetz
klima,Climate,"Climate-related indicators such as emissions, temperature, weather extremes; climate protection, energy transition, nuclear energy.",en,greenhouse gas|CO2 emissions|temperature anomaly|climate indicator|renewable energy share|energy consumption|energy transition|climate protection|nuclear energy|nuclear power|climate law,business climate|investment climate,climate|climate change|emissions|greenhouse gas|temperature|weather extremes|climate balance|energy transition|climate protection|nuclear energy|nuclear power
migration_einwanderung,Migration und Einwanderung,"Zuwanderung, Abwanderung, Aufenthaltsstatus und Bevölkerungsbewegungen.",de,Zuwanderung|Abwanderung|Aufenthaltstitel|Fluchtmigration|Asylantrag|Zuwanderer|Einwanderer|Einwanderung|Migrant|Migranten|Geflüchtete|Flüchtlinge|Asyl,Datenmigration|Servermigration,Migration|Einwanderung|Zuwanderung|Abwanderung|Migrationshintergrund
migration_einwanderung,Migration and immigration,"Immigration, emigration, residence status and population movements.",en,immigration|emigration|residence permit|asylum application|migration balance,data migration|system migration,migration|immigration|emigration|net migration|migrant background
bildung,Bildung,"Bildungsstand, Schul- und Hochschulstatistiken, Bildungsbeteiligung.",de,ISCED|Bildungsabschluss|Schulabgang|Studienanfang|Ausbildungsplatz|Schüler|Studierende|Studium|Hochschule|Ausbildung|Bildungsbeteiligung|Schulabschluss,Weiterbildungskosten Unternehmen,Bildung|Bildungsstand|Schüler|Studierende|Schulabschlüsse|PISA
bildung,Education,"Educational attainment, school and tertiary statistics, participation.",en,educational attainment|school enrolment|tertiary education|ISCED level,corporate training budget,education|educational attainment|students|enrolment|graduation|PISA
atomkraft,Atomkraft,"Kernenergie, Atomausstieg, Atomkraftwerke, Atommüll und Endlager.",de,Atomkraft|Kernkraft|Atomenergie|Kernenergie|Atomausstieg|Atomkraftwerk|Kernkraftwerk|Atommüll|Endlager|Reaktor|Laufzeitverlängerung|Atomstrom,Atomwaffe|Kernwaffe|Nuklearmedizin|Atomuhr|Atommodell,Atomkraft|Kernkraft|Atomenergie|Kernenergie|AKW|Atomausstieg|Atomstrom
atomkraft,Nuclear power,"Nuclear energy, phase-out, reactors, nuclear waste and storage.",en,nuclear power|nuclear energy|nuclear phase-out|nuclear reactor|nuclear waste|atomic energy|nuclear plant,nuclear weapon|nuclear medicine|nuclear bomb,nuclear power|nuclear energy|atomic energy|nuclear phase-out|reactor
wohnen,Wohnen und Mieten,"Mieten, Wohnungsbau, Wohnungsnot und Wohnkosten.",de,Miete|Mieten|Mietpreis|Wohnungsbau|Wohnungsnot|Wohnungsmarkt|Wohnkosten|Mietpreisbremse|Wohnraum|Sozialwohnung|Wohnungsmangel|Eigenheim,Autovermietung|Mietwagen,Wohnen|Miete|Wohnungsmarkt|Wohnungsbau|Mietpreise|Wohnungspolitik
wohnen,Housing and rents,"Rents, housing construction, housing shortage and housing costs.",en,housing costs|rent prices|housing shortage|housing market|rent control|social housing|affordable housing,car rental|rental car,housing|rents|housing policy|housing market|affordability
rente,Rente und Altersvorsorge,"Rente, Renteneintrittsalter, Altersvorsorge und Generationengerechtigkeit.",de,Rente|Renteneintritt|Rentenalter|Altersvorsorge|Rentenversicherung|Aktienrente|Grundrente|Ruhestand|Rentenniveau|Altersarmut|Generationenvertrag,Rentenfonds|Rentenpapiere|Rentenbank|Rentenmarkt,Rente|Altersvorsorge|Rentenreform|Rentenpolitik|Pension|Ruhestand
rente,Pensions and retirement,"Pensions, retirement age, old-age provision and old-age poverty.",en,pension|retirement age|old-age provision|pension reform|pension insurance|old-age poverty|retirement income,bond fund|pension fund performance,pension|retirement|pension reform|old-age security
verteidigung,Verteidigung und Bundeswehr,"Bundeswehr, Wehrpflicht, Verteidigungsausgaben und Aufrüstung.",de,Bundeswehr|Verteidigung|Wehrpflicht|Aufrüstung|Verteidigungsausgaben|Rüstung|Wehrdienst|Verteidigungspolitik|Landesverteidigung|Zeitenwende|NATO,Titelverteidigung|Strafverteidigung|Verteidigung der Dissertation,Verteidigung|Bundeswehr|Wehrpflicht|Militär|Sicherheitspolitik|Aufrüstung
verteidigung,Defense and armed forces,"Armed forces, conscription, defense spending and rearmament.",en,defense spending|armed forces|conscription|military service|rearmament|defense policy|NATO,title defense|criminal defense|thesis defense,defense|military|conscription|defense policy|security policy
